date,timing,fg,qe
2002-01-03,1.91748697871461,-2.0144472464287952,
2002-02-07,0.8346150334650424,0.5034104082769859,
2002-03-07,0.49300091678232416,-0.863756977750748,
2002-04-04,-1.0209332255941088,-1.0806111217626115,
2002-05-02,2.4333105323802737,4.691652454659019,
2002-06-06,1.1105010852774015,2.6353258722589956,
2002-07-04,-0.09504807038182005,-1.3071136022155119,
2002-09-12,-2.2569568892372085,-2.960938667959781,
2002-10-10,1.1261820830104001,2.5413425828826774,
2002-11-07,-2.2452249468680776,-0.7203499534132958,
2002-12-05,-0.6791026309492725,0.4712839702706818,
2003-01-09,1.7696819255956973,0.12540079747599678,
2003-02-06,0.8456268407389411,0.37758215870295014,
2003-03-06,0.6365085354594069,-3.3386850813194924,
2003-04-03,1.100162869099701,-1.057373352789035,
2003-05-08,2.19369644003505,3.2719886161186023,
2003-06-05,2.0624096613356193,-8.478760926342552,
2003-07-10,1.074347496350355,-0.750881071924559,
2003-09-04,1.0981733318184426,-3.0808390226255606,
2003-10-02,0.25987972546066984,4.107676969353347,
2003-11-06,0.49258598373786494,0.3084207724620842,
2003-12-04,0.46468733053611433,-3.5484617617567444,
2004-01-08,-0.15832607971121437,-1.5110425051527345,
2004-02-05,-0.5952777338453844,-1.7339902735722055,
2004-03-04,1.4311453210566407,1.2123943773587753,
2004-04-01,2.409726589512105,3.8807769653650803,
2004-05-06,-1.1585371655846488,2.435810602761796,
2004-06-03,1.0842048941018414,-2.8513407075387383,
2004-07-01,-0.7586887661690052,1.408190913770932,
2004-09-02,0.22438249752275638,1.7971271148642194,
2004-10-07,-1.7720265950869165,1.0202237915312709,
2004-11-04,-0.8233508028240009,1.1026965469498016,
2004-12-02,1.2916494205888076,1.3221666204488995,
2005-01-13,-0.05651898417534563,-6.440652888896723,
2005-02-03,-0.32851785058547944,-0.1813491136237445,
2005-03-03,-0.7136873630816705,-0.33146400148221417,
2005-04-07,0.034901262871683464,-2.7924279379381214,
2005-05-04,0.13459484635708852,0.8937904876599393,
2005-06-02,-0.7396027858552252,2.395090631178993,
2005-07-07,0.5006438508247223,3.676630475118809,
2005-09-01,0.7255039687276001,-2.8031818433528635,
2005-10-06,0.11899877408095297,-0.23027171386460138,
2005-11-03,-0.7840248475263841,1.2017028135932053,
2005-12-01,-0.7114989725388872,-2.129281045373334,
2006-01-12,-0.8289649582517039,-2.320233650032353,
2006-02-02,0.21327136068882482,0.532975383997063,
2006-03-02,-0.5240140948674051,5.298770176826051,
2006-04-06,-8.215042196101384,0.8503881150201296,
2006-05-04,0.9615355707731731,0.19870468940505545,
2006-06-08,-2.781012859457929,0.17021589828694955,
2006-07-06,2.49438306789127,0.30517744515749706,
2006-08-03,0.2399293594627934,3.0677207081233226,
2006-08-31,0.31582416965546495,1.7537506477086753,
2006-10-05,0.5993032498070385,-0.40969339707673935,
2006-11-02,-0.04300054130668584,0.8508194503008142,
2006-12-07,0.452893658485334,3.733221314242207,
2007-01-11,-2.7431289413528566,-2.835551088226334,
2007-02-08,-2.734410637722195,9.557574664703086,
2007-03-08,1.0253832922916393,-0.4631112826214137,
2007-04-12,-0.44782460815761477,0.6089474948272183,
2007-05-10,0.3309705972315987,-1.7856372717664017,
2007-06-06,0.5054569746763655,-2.8636692735544793,
2007-07-05,-0.14287560248194148,0.8181786155906327,
2007-09-06,-3.68937712835072,0.7500351223721443,
2007-10-04,1.068401148348895,-2.523343548955264,
2007-11-08,-0.809898646591036,-2.3311516711743,
2007-12-06,-0.5045385421819003,5.108447356990007,
2008-01-10,0.6852289753802828,-2.2242555855954795,
2008-02-07,-3.3280442335968505,-1.9930912675343186,
2008-03-06,3.0231946669846113,2.2707414141460727,
2008-04-10,0.7166739566000129,-1.4067106642522855,
2008-05-08,-0.3328304182590487,-1.220417206497381,
2008-06-05,10.420480844413886,10.430344615779665,
2008-07-03,3.031017606916315,-25.31194615377867,
2008-08-07,2.162961000639428,-15.44806194426212,
2008-09-04,-0.42322968481584045,0.09929056440609986,
2008-10-02,-6.053193138530251,-1.0039011073858934,
2008-12-04,0.7356488688690249,3.5040888428707118,
2009-01-15,6.5149243173716,-5.361628078718486,
2009-02-05,-4.672057374877263,-1.1098427914019897,
2009-03-05,-2.337523269322354,0.740322996612618,
2009-04-02,2.8965346938005085,-2.6277622532778553,
2009-05-07,-1.0232437803002088,-3.5686915247709186,
2009-06-04,0.4099471204221678,7.793821104682516,
2009-07-02,-6.55017620109002,0.2935455516261391,
2009-08-06,-2.444066726232261,6.075135640658356,
2009-09-03,-2.521759391937819,-3.756807610265034,
2009-10-08,-0.5173273168994581,-2.8458375594422836,
2009-11-05,-2.008175234591817,2.9150103435710033,
2009-12-03,-5.259124489418164,5.3959766589711196,
2010-01-14,0.060066882030375315,-2.63105093231795,
2010-02-04,-0.12271834512231569,-0.7383985748583306,
2010-03-04,-1.4161191271983324,1.293749984781504,
2010-04-08,1.0020671432177306,-1.3596983221196182,
2010-05-06,1.0866618482893526,-0.3532629205650571,
2010-06-10,-1.6374208743090244,1.5681070707962836,
2010-07-08,3.1898450231009314,1.0298352062721232,
2010-08-05,0.1327128397866446,-1.803787644123223,
2010-09-02,-0.9305993091893635,0.05139561909470438,
2010-10-07,0.6021872228556794,-1.119889755228846,
2010-11-04,-0.549653241591674,-0.3565575850226945,
2010-12-02,-2.733086896735332,1.5301297175778492,
2011-01-13,0.0156695775869181,8.872053313298295,
2011-02-03,-1.955284628694894,-3.418849564044634,
2011-03-03,10.681264303696768,4.678380371993071,
2011-04-07,1.232748102190992,-1.8672114758679164,
