date,OIS_1M,OIS_3M,OIS_6M,OIS_1Y,OIS_2Y,OIS_5Y,OIS_10Y
2002-01-03,0.499999999999989,1.50000000000001,-0.249999999999995,-1.00000000000002,-1.00000000000002,-1.10000000000001,-1.6
2002-02-07,1.24999999999997,0.999999999999979,1.50000000000001,2.74999999999999,2.49999999999999,2.50000000000004,0.950000000000007
2002-03-07,-0.250000000000039,0.999999999999979,0.499999999999989,0.999999999999979,1.24999999999993,0.150000000000006,-0.199999999999978
2002-04-04,0.0,0.499999999999989,0.500000000000034,0.0,0.5000000000000779,-0.24999999999995,-0.150000000000006
2002-05-02,0.999999999999979,0.0,0.499999999999989,0.449999999999973,0.0,0.349999999999984,0.300000000000011
2002-06-06,-2.0,-0.999999999999979,-0.700000000000012,-1.50000000000001,-0.999999999999979,0.350000000000072,0.250000000000039
2002-07-04,0.0,-0.749999999999984,0.249999999999995,0.200000000000022,0.499999999999989,0.350000000000072,0.0999999999999446
2002-08-01,1.25000000000002,0.0,-0.300000000000011,-0.200000000000022,-0.999999999999979,-0.400000000000045,-0.549999999999962
2002-09-12,-0.249999999999995,-0.0499999999999723,-0.249999999999995,1.00000000000002,0.499999999999989,0.0499999999999723,0.0
2002-10-10,2.99999999999998,1.75000000000001,1.29999999999999,0.0,-1.24999999999997,-0.950000000000007,-1.10000000000001
2002-11-07,8.649999999999999,4.99999999999998,3.75000000000001,2.34999999999999,1.05,0.199999999999978,-0.3999999999999561
2002-12-05,-5.14999999999999,-3.50000000000001,-2.4,-0.300000000000011,1.2,2.44999999999997,2.09999999999999
2003-01-09,0.499999999999989,0.09999999999998901,0.250000000000039,1.09999999999997,1.2,1.50000000000001,1.15000000000007
2003-02-06,2.4,1.69999999999999,1.50000000000001,0.500000000000034,0.499999999999989,-0.350000000000028,-0.649999999999995
2003-03-06,8.44999999999998,5.00000000000003,3.00000000000003,1.00000000000002,-1.49999999999997,-1.69999999999999,-1.39999999999998
2003-04-03,2.99999999999998,0.500000000000034,0.750000000000028,0.700000000000012,0.0500000000000167,0.150000000000006,0.0
2003-05-08,0.9500000000000061,0.0,0.0500000000000167,-1.00000000000002,-2.0,-2.04999999999997,-1.95000000000003
2003-06-05,-4.49999999999999,-4.300000000000019,-2.50000000000004,-2.50000000000001,-1.94999999999999,-3.79999999999998,-3.6
2003-07-10,0.249999999999995,-0.0500000000000167,-0.499999999999989,-0.500000000000012,-0.749999999999984,-0.749999999999984,-0.550000000000006
2003-07-31,0.0,1.00000000000002,0.249999999999995,0.749999999999984,0.500000000000034,0.300000000000011,0.300000000000011
2003-09-04,0.550000000000006,-0.499999999999989,-0.749999999999984,0.300000000000011,0.0500000000000167,0.500000000000034,0.300000000000011
2003-10-02,0.499999999999989,0.499999999999989,-0.249999999999995,-0.750000000000028,-0.700000000000012,-0.4500000000000169,-0.600000000000023
2003-11-06,0.0,-0.999999999999979,0.250000000000039,0.250000000000039,0.499999999999989,0.699999999999967,0.600000000000023
2003-12-04,0.0,-0.4500000000000169,0.0,0.4,0.0,0.4,0.250000000000039
2004-01-08,0.499999999999989,0.600000000000023,0.300000000000011,-0.250000000000039,0.200000000000022,0.349999999999984,0.199999999999978
2004-02-05,0.299999999999967,-0.200000000000022,0.350000000000028,0.4,0.499999999999989,0.249999999999995,-0.250000000000039
2004-03-04,2.50000000000001,1.49999999999999,1.05,1.75000000000001,1.79999999999998,2.0,1.20000000000005
2004-04-01,3.55000000000001,1.90000000000001,2.49999999999999,2.0,1.74999999999996,0.800000000000001,0.349999999999984
2004-05-06,0.249999999999995,0.300000000000011,0.999999999999979,0.499999999999989,0.499999999999989,0.299999999999967,0.05000000000006109
2004-06-03,-0.249999999999995,-1.50000000000001,0.0,0.0,0.249999999999995,0.200000000000022,0.0
2004-07-01,0.0,-0.500000000000034,-0.150000000000006,-0.150000000000006,0.0,-0.150000000000006,-0.100000000000033
2004-08-05,-0.100000000000033,0.200000000000022,0.499999999999989,-0.550000000000006,0.249999999999995,-0.09999999999998901,-0.100000000000033
2004-09-02,0.300000000000011,2.19999999999998,-1.75000000000001,0.749999999999984,0.0,-0.4,-0.300000000000011
2004-10-07,-0.100000000000033,0.300000000000011,0.499999999999989,0.750000000000028,0.4,0.09999999999998901,0.24999999999995
2004-11-04,-0.200000000000022,-0.200000000000022,0.949999999999962,-0.499999999999989,0.300000000000011,0.350000000000028,0.0
2004-12-02,-1.2,0.09999999999998901,-0.619999999999976,0.249999999999995,0.699999999999967,1.09999999999997,0.649999999999995
2005-01-13,-0.100000000000033,-0.100000000000033,0.0,0.09999999999998901,0.0,0.199999999999978,0.09999999999998901
2005-02-03,-0.699999999999967,0.09999999999998901,0.749999999999984,-0.349999999999984,0.300000000000011,0.700000000000012,0.700000000000012
2005-03-03,0.0,-0.4,0.499999999999989,-0.09999999999998901,0.499999999999989,0.600000000000023,0.550000000000006
2005-04-07,-0.649999999999995,1.2,0.300000000000011,0.149999999999961,0.300000000000011,0.199999999999978,-0.150000000000006
2005-05-04,0.0,0.0,0.0,2.74999999999999,-0.699999999999967,0.0,-0.09999999999998901
2005-06-02,0.800000000000001,0.200000000000022,1.29999999999999,1.00000000000002,0.800000000000001,0.449999999999973,0.0
2005-07-07,0.0,0.0,-0.300000000000011,-0.199999999999978,-0.649999999999995,-0.150000000000006,0.150000000000006
2005-08-04,0.0,0.0,0.300000000000011,0.0,-0.199999999999978,-0.150000000000006,-0.150000000000006
2005-09-01,0.0,0.0,0.09999999999998901,1.90000000000001,0.0500000000000167,-0.09999999999998901,-0.249999999999995
