date,target
2002-01-03,0.30620553129657185
2002-02-07,0.6684886909672911
2002-03-07,-0.6814816020656613
2002-04-04,-0.3453315944760949
2002-05-02,0.5683525725453581
2002-06-06,-2.006950874877043
2002-07-04,-0.5420277063294394
2002-08-01,0.7812108658753587
2002-09-12,-0.813574572006635
2002-10-10,2.6849574138581036
2002-11-07,8.077933513348672
2002-12-05,-5.463366281475935
2003-01-09,0.0717773612511119
2003-02-06,1.958632363139296
2003-03-06,8.085740089514244
2003-04-03,2.3711045716672974
2003-05-08,0.47431729468145073
2003-06-05,-5.534613418067784
2003-07-10,-0.1578969209922008
2003-07-31,-0.26952145660759075
2003-09-04,0.0008255458867042457
2003-10-02,0.22727305473122714
2003-11-06,-0.5038260672309138
2003-12-04,-0.4414454850001687
2004-01-08,0.2661684615392767
2004-02-05,-0.24345039809253222
2004-03-04,2.055433351272591
2004-04-01,2.9541098467217983
2004-05-06,-0.11592226353250112
2004-06-03,-0.887014831901261
2004-07-01,-0.4789530612654409
2004-08-05,-0.36768174742046345
2004-09-02,-0.0013916335552021577
2004-10-07,-0.47553093027124216
2004-11-04,-0.46080606003168734
2004-12-02,-1.4307667364996155
2005-01-13,-0.4625835666779518
2005-02-03,-0.770627057532094
2005-03-03,-0.3435093073048684
2005-04-07,-0.7698778153314625
2005-05-04,-0.6386992149070637
2005-06-02,0.2805064283462926
2005-07-07,-0.2727101282315552
2005-08-04,-0.35020355549888865
2005-09-01,-0.6509299805203758
2005-10-06,-0.40959362272508176
2005-11-03,-1.2074993337128384
2005-12-01,-1.2286869656328643
2006-01-12,-0.5799013706294508
2006-02-02,-1.5184878852379045
2006-03-02,-0.21911530103913743
2006-04-06,-0.9306205986690457
2006-05-04,-2.637616584079109
2006-06-08,-0.9617013413305953
2006-07-06,-2.0022509899583425
2006-08-03,0.4435564271598667
2006-08-31,-0.602648211337485
2006-10-05,-0.520062512840751
2006-11-02,-1.3712444122080876
2006-12-07,-0.052911810880257336
2007-01-11,-0.45518039526532905
2007-02-08,-1.0900993546205
2007-03-08,-0.3886132849785234
2007-04-12,-0.27432473003180646
2007-05-10,-0.27149409459039303
2007-06-06,-0.4470132163827863
2007-07-05,-0.33023356024303163
2007-08-02,-0.7889488113824746
2007-09-06,-1.751146524507262
2007-10-04,-1.4398645109970523
2007-11-08,-0.8233482283767422
2007-12-06,-0.2761849852074903
2008-01-10,-0.6143865706235353
2008-02-07,0.0075564923111779295
2008-03-06,-0.6215780698643963
2008-04-10,-0.22457327900020116
2008-05-08,-0.548100177292257
2008-06-05,-0.4695314391654163
2008-07-03,-1.3411024746481306
2008-08-07,-0.14630379342492603
2008-09-04,-0.42354594431887366
2008-10-02,2.1786596429512173
2008-12-04,3.227656967825965
2009-01-15,-7.270996490536349
2009-02-05,-0.08988902999871919
2009-03-05,3.196315730472196
2009-04-02,4.93023101123656
2009-05-07,-1.21985298098225
2009-06-04,0.6925158290537514
2009-07-02,1.6421267192849625
2009-08-06,0.05368866466587818
2009-09-03,-0.816829228909263
2009-10-08,-0.3439671371839678
2009-11-05,-0.9352766560045535
2009-12-03,-1.1134559213731565
2010-01-14,-0.6802477348991571
2010-02-04,-0.2546872923239806
2010-03-04,-0.4546341886242938
2010-04-08,-0.6393165762292572
2010-05-06,-0.26533308117268684
2010-06-10,0.875179649218539
2010-07-08,0.18698814273009667
2010-08-05,-0.15611820546611715
2010-09-02,-0.15515987932410694
2010-10-07,-0.04502409866181307
2010-11-04,-0.6299033052261162
2010-12-02,-0.27450504557546274
2011-01-13,-0.40382245210193884
2011-02-03,-0.6795384408935273
2011-03-03,-0.49291231680744974
2011-04-07,0.7814097008065876
2011-05-05,-1.071024664092394
2011-06-09,-0.35640220386966043
2011-07-07,0.04812936788080671
2011-08-04,0.05062369689137248
2011-09-08,1.8715405121402835
2011-10-06,11.229372201870186
2011-11-03,-13.74237730339542
2011-12-08,2.095259019235963
2012-01-12,-0.5456947139240412
2012-02-09,-0.23723033278200334
2012-03-08,-0.006165710247148639
2012-04-04,-0.7424151397657471
2012-05-03,0.008231531623329584
2012-06-06,1.2271505792395527
2012-07-05,-10.969234604469937
2012-08-02,0.6474880511194087
2012-09-06,0.5922104540873994
2012-10-04,0.2956381268320483
2012-11-08,0.05155440671303125
2012-12-06,-0.2236028220938504
2013-01-10,-0.23464078479126188
2013-02-07,-0.5697493620676469
2013-03-07,-0.2826826974995912
2013-04-04,-0.36828188493642344
2013-05-02,-0.3412833904375791
2013-06-06,0.1578784213717476
2013-07-04,-0.39527237485787375
2013-08-01,-0.4526115093610213
2013-09-05,-0.24461888362754416
2013-10-02,-0.2675002746909734
2013-11-07,-0.9957405490477225
2013-12-05,-0.025246656053589365
2014-01-09,-0.3732998112853337
2014-02-06,0.17650093036411119
2014-03-06,0.6696968342722078
2014-04-03,0.5051475329315994
2014-05-08,1.632176608001441
2014-06-05,0.09821746689984916
2014-07-03,-0.31633104489959313
2014-08-07,-0.5274111393953965
2014-09-04,-6.268338359155325
2014-10-02,-0.40824136940293093
2014-11-06,-0.11118607040387508
2014-12-04,-0.6700160918041518
2015-01-22,-0.059640899585527055
2015-03-05,-1.3859591547797097
2015-04-15,0.6902953638144524
2015-06-03,-0.678035005129578
2015-07-16,-0.3740981414430773
2015-09-03,-0.3833459902416679
2015-10-22,-0.3277487960420131
2015-12-03,4.841766320714281
2016-01-21,0.44802930845288125
2016-03-10,1.4044018421928388
2016-04-21,-0.38437145712319104
2016-06-02,-0.42203481737873333
2016-07-21,0.10330456352100126
2016-09-08,0.12130654159507008
